Given Address,House Number,Street,City,State,ZIP Code,Full Address,Exact Match
1448 NW 100TH ST OK,1448,Northwest 100th Street,Oklahoma City,Oklahoma,73114,"1448 Northwest 100th Street Oklahoma City, Oklahoma 73114",True
1449 NW 99TH ST OK,1449,Northwest 99th Street,Oklahoma City,Oklahoma,73114,"1449 Northwest 99th Street Oklahoma City, Oklahoma 73114",True
1452 NE 14TH ST OK,1452,Northeast 14th Street,Oklahoma City,Oklahoma,73117,"1452 Northeast 14th Street Oklahoma City, Oklahoma 73117",True
1457 NE 16TH TER OK,1457,Northeast 16th Terrace,Oklahoma City,Oklahoma,73117,"1457 Northeast 16th Terrace Oklahoma City, Oklahoma 73117",True
1501 N SARA RD OK,1501,North Sara Road,Oklahoma City,Oklahoma,73099,"1501 North Sara Road Oklahoma City, Oklahoma 73099",True
1512 NE 46TH ST OK,1512,Northeast 46th Street,Oklahoma City,Oklahoma,73111,"1512 Northeast 46th Street Oklahoma City, Oklahoma 73111",True
1512 SW 22ND ST OK,1512,Southwest 22nd Street,Oklahoma City,Oklahoma,73108,"1512 Southwest 22nd Street Oklahoma City, Oklahoma 73108",True
1524 NW 127TH ST OK,1524,Northwest 127th Street,Oklahoma City,Oklahoma,73120,"1524 Northwest 127th Street Oklahoma City, Oklahoma 73120",True
15329 LILY GARDEN LN OK,15329,Lily Garden Lane,Oklahoma City,Oklahoma,73170,"15329 Lily Garden Lane Oklahoma City, Oklahoma 73170",True
1543 NE 18TH ST OK,1543,Northeast 18th Street,Oklahoma City,Oklahoma,73111,"1543 Northeast 18th Street Oklahoma City, Oklahoma 73111",True
1564 SW 44TH ST OK,1564,Southwest 44th Street,Oklahoma City,Oklahoma,73119,"1564 Southwest 44th Street Oklahoma City, Oklahoma 73119",True
1600 SW 96TH ST OK,1600,Southwest 96th Street,Oklahoma City,Oklahoma,73159,"1600 Southwest 96th Street Oklahoma City, Oklahoma 73159",True
1600 WEST PALM PL OK,"1600, 1602",West Palm Place,Oklahoma City,Oklahoma,73169,"1600, 1602 West Palm Place Oklahoma City, Oklahoma 73169",False
1601 E PARK PL OK,1601,East Park Place,Oklahoma City,Oklahoma,73117,"1601 East Park Place Oklahoma City, Oklahoma 73117",True
1601 NW 32ND ST OK,1601,Northwest 32nd Street,Lawton,Oklahoma,73505,"1601 Northwest 32nd Street Lawton, Oklahoma 73505",True
1411 E EUCLID ST OK,899,Garden Grove,Yukon,Oklahoma,73099,"899 Garden Grove Yukon, Oklahoma 73099",False
1412 E EUCLID ST OK,899,Garden Grove,Yukon,Oklahoma,73099,"899 Garden Grove Yukon, Oklahoma 73099",False
1413 NW 99TH ST OK,1413,Northwest 99th Street,Oklahoma City,Oklahoma,73114,"1413 Northwest 99th Street Oklahoma City, Oklahoma 73114",True
1416 NW 100TH ST OK,1416,Northwest 100th Street,Oklahoma City,Oklahoma,73114,"1416 Northwest 100th Street Oklahoma City, Oklahoma 73114",True
1417 NW 99TH ST OK,1417,Northwest 99th Street,Oklahoma City,Oklahoma,73114,"1417 Northwest 99th Street Oklahoma City, Oklahoma 73114",True
14200 CHICKASAW DR OK,14200,Chickasaw Drive,Oklahoma City,Oklahoma,73013,"14200 Chickasaw Drive Oklahoma City, Oklahoma 73013",True
1421 NE 17TH ST OK,1421,Northeast 17th Street,Oklahoma City,Oklahoma,73111,"1421 Northeast 17th Street Oklahoma City, Oklahoma 73111",True
1421 NE 38TH ST OK,1421,Northeast 38th Street,Oklahoma City,Oklahoma,73111,"1421 Northeast 38th Street Oklahoma City, Oklahoma 73111",True
1421 NE 7TH ST OK,1421,Northeast 7th Street,Oklahoma City,Oklahoma,73117,"1421 Northeast 7th Street Oklahoma City, Oklahoma 73117",True
1424 NW 100TH ST OK,1424,Northwest 100th Street,Oklahoma City,Oklahoma,73114,"1424 Northwest 100th Street Oklahoma City, Oklahoma 73114",True
1428 NW 100TH ST OK,1428,Northwest 100th Street,Oklahoma City,Oklahoma,73114,"1428 Northwest 100th Street Oklahoma City, Oklahoma 73114",True
1429 STANDISH AVE OK,House number not found,Standish Avenue,Oklahoma City,Oklahoma,73117,"House number not found Standish Avenue Oklahoma City, Oklahoma 73117",False
14313 S HARVEY AVE OK,14313,South Harvey Avenue,Oklahoma City,Oklahoma,73170,"14313 South Harvey Avenue Oklahoma City, Oklahoma 73170",True
1432 NW 100TH ST OK,1432,Northwest 100th Street,Oklahoma City,Oklahoma,73114,"1432 Northwest 100th Street Oklahoma City, Oklahoma 73114",True
1436 NW 100TH ST OK,1436,Northwest 100th Street,Oklahoma City,Oklahoma,73114,"1436 Northwest 100th Street Oklahoma City, Oklahoma 73114",True
1440 NE 17TH ST OK,1440,Northeast 17th Street,Oklahoma City,Oklahoma,73111,"1440 Northeast 17th Street Oklahoma City, Oklahoma 73111",True
1448 NE 13TH ST OK,1448,Northeast 13th Street,Oklahoma City,Oklahoma,73117,"1448 Northeast 13th Street Oklahoma City, Oklahoma 73117",True
13505 VIXEN LN OK,13505,Vixen Lane,Oklahoma City,Oklahoma,73131,"13505 Vixen Lane Oklahoma City, Oklahoma 73131",True
14 N ALLEN ST OK,14,North Allen Street,Oklahoma City,Oklahoma,73107,"14 North Allen Street Oklahoma City, Oklahoma 73107",True
1401 E EUCLID ST OK,899,Garden Grove,Yukon,Oklahoma,73099,"899 Garden Grove Yukon, Oklahoma 73099",False
1401 NE 15TH ST OK,1401,Northeast 15th Street,Oklahoma City,Oklahoma,73117,"1401 Northeast 15th Street Oklahoma City, Oklahoma 73117",True
1401 NE 44TH ST OK,1401,Northeast 44th Street,Oklahoma City,Oklahoma,73111,"1401 Northeast 44th Street Oklahoma City, Oklahoma 73111",True
1405 E EUCLID ST OK,899,Garden Grove,Yukon,Oklahoma,73099,"899 Garden Grove Yukon, Oklahoma 73099",False
1921 WASHINGTON BLVD OK,1921,Washington Boulevard,Oklahoma City,Oklahoma,73121,"1921 Washington Boulevard Oklahoma City, Oklahoma 73121",True
19640 STRATMORE WAY OK,19640,Stratmore Way,Oklahoma City,Oklahoma,73012,"19640 Stratmore Way Oklahoma City, Oklahoma 73012",True
1718 NE 11TH ST OK,1718,Northeast 11th Street,Moore,Oklahoma,73160,"1718 Northeast 11th Street Moore, Oklahoma 73160",True
1721 N JORDAN AVE OK,1721,North Jordan Avenue,Oklahoma City,Oklahoma,73111,"1721 North Jordan Avenue Oklahoma City, Oklahoma 73111",True
1724 NE 11TH ST OK,1724,Northeast 11th Street,Moore,Oklahoma,73160,"1724 Northeast 11th Street Moore, Oklahoma 73160",True
1737 NE 13TH ST OK,1737,Northeast 13th Street,Oklahoma City,Oklahoma,73117,"1737 Northeast 13th Street Oklahoma City, Oklahoma 73117",True
18120 CHESTNUT OAK DR OK,18120,Chestnut Oak Drive,Oklahoma City,Oklahoma,73012,"18120 Chestnut Oak Drive Oklahoma City, Oklahoma 73012",True
1813 NE 49TH ST OK,1813,Northeast 49th Street,Oklahoma City,Oklahoma,73111,"1813 Northeast 49th Street Oklahoma City, Oklahoma 73111",True
1814 N JORDAN AVE OK,1814,North Jordan Avenue,Oklahoma City,Oklahoma,73111,"1814 North Jordan Avenue Oklahoma City, Oklahoma 73111",True
1825 NW 36TH ST OK,House number not found,Northwest 36th Street,Oklahoma City,Oklahoma,73008,"House number not found Northwest 36th Street Oklahoma City, Oklahoma 73008",False
18325 LAUREL OAK DR OK,18325,Laurel Oak Drive,Oklahoma City,Oklahoma,73012,"18325 Laurel Oak Drive Oklahoma City, Oklahoma 73012",True
1904 NW 30TH ST OK,1904,Northwest 30th Street,Oklahoma City,Oklahoma,73118,"1904 Northwest 30th Street Oklahoma City, Oklahoma 73118",True
1905 NE 52ND ST OK,1905,Northeast 52nd Street,Oklahoma City,Oklahoma,73111,"1905 Northeast 52nd Street Oklahoma City, Oklahoma 73111",True
1908 NE 52ND ST OK,1908,Northeast 52nd Street,Oklahoma City,Oklahoma,73111,"1908 Northeast 52nd Street Oklahoma City, Oklahoma 73111",True
1913 N MACARTHUR BLVD OK,1900,North MacArthur Boulevard,Oklahoma City,Oklahoma,73127,"1900 North MacArthur Boulevard Oklahoma City, Oklahoma 73127",False
1915 N MACARTHUR BLVD OK,1900,North MacArthur Boulevard,Oklahoma City,Oklahoma,73127,"1900 North MacArthur Boulevard Oklahoma City, Oklahoma 73127",False
1916 NE 52ND ST OK,1916,Northeast 52nd Street,Oklahoma City,Oklahoma,73111,"1916 Northeast 52nd Street Oklahoma City, Oklahoma 73111",True
1917 MOULTON CT OK,1917,North Moulton Court,Oklahoma City,Oklahoma,73127,"1917 North Moulton Court Oklahoma City, Oklahoma 73127",True
1919 NW 29TH ST OK,1919,Northwest 29th Street,Oklahoma City,Oklahoma,73106,"1919 Northwest 29th Street Oklahoma City, Oklahoma 73106",True
1604 N MARKWELL PL OK,1604,North Markwell Place,Oklahoma City,Oklahoma,73127,"1604 North Markwell Place Oklahoma City, Oklahoma 73127",True
1604 NW 199TH ST OK,1604,Northwest 199th Street,Oklahoma City,Oklahoma,73012,"1604 Northwest 199th Street Oklahoma City, Oklahoma 73012",True
1604 WEST PALM PL OK,"1604, 1606",West Palm Place,Oklahoma City,Oklahoma,73169,"1604, 1606 West Palm Place Oklahoma City, Oklahoma 73169",False
1606 WEST PALM PL OK,"1604, 1606",West Palm Place,Oklahoma City,Oklahoma,73169,"1604, 1606 West Palm Place Oklahoma City, Oklahoma 73169",False
1609 NE 39TH ST OK,1609,Northeast 39th Street,Oklahoma City,Oklahoma,73111,"1609 Northeast 39th Street Oklahoma City, Oklahoma 73111",True
1612 N VIRGINIA AVE OK,1612,North Virginia Avenue,Oklahoma City,Oklahoma,73106,"1612 North Virginia Avenue Oklahoma City, Oklahoma 73106",True
1616 SW 78TH TER OK,1616,Southwest 78th Terrace,Oklahoma City,Oklahoma,73159,"1616 Southwest 78th Terrace Oklahoma City, Oklahoma 73159",True
1617 E EUCLID ST OK,1230,North Fonshill Avenue,Oklahoma City,Oklahoma,73117,"1230 North Fonshill Avenue Oklahoma City, Oklahoma 73117",False
1620 NE 13TH ST OK,1620,Northeast 13th Street,Oklahoma City,Oklahoma,73117,"1620 Northeast 13th Street Oklahoma City, Oklahoma 73117",True
1624 SW 70TH ST OK,1624,Southwest 70th Street,Oklahoma City,Oklahoma,73159,"1624 Southwest 70th Street Oklahoma City, Oklahoma 73159",True
1629 E EUCLID ST OK,19413,North Euclid Street,Cashion,Oklahoma,73016,"19413 North Euclid Street Cashion, Oklahoma 73016",False
16500 N CHOCTAW RD OK,16500,North Choctaw Road,Oklahoma City,Oklahoma,73054,"16500 North Choctaw Road Oklahoma City, Oklahoma 73054",True
1701 NE 11TH ST OK,1701,Northeast 11th Street,Moore,Oklahoma,73160,"1701 Northeast 11th Street Moore, Oklahoma 73160",True
1704 NE 48TH ST OK,1704,Northeast 48th Street,Oklahoma City,Oklahoma,73111,"1704 Northeast 48th Street Oklahoma City, Oklahoma 73111",True
1704 WEST PALM PL OK,"1704, 1706",West Palm Place,Oklahoma City,Oklahoma,73169,"1704, 1706 West Palm Place Oklahoma City, Oklahoma 73169",False
1712 NW 35TH ST OK,1712,Northwest 35th Street,Oklahoma City,Oklahoma,73118,"1712 Northwest 35th Street Oklahoma City, Oklahoma 73118",True
1716 WASHINGTON BLVD OK,1716,Washington Boulevard,Oklahoma City,Oklahoma,73121,"1716 Washington Boulevard Oklahoma City, Oklahoma 73121",True
1602 NE 11TH ST OK,1602,Northeast 11th Street,Moore,Oklahoma,73160,"1602 Northeast 11th Street Moore, Oklahoma 73160",True
1602 WEST PALM PL OK,"1600, 1602",West Palm Place,Oklahoma City,Oklahoma,73169,"1600, 1602 West Palm Place Oklahoma City, Oklahoma 73169",False
2208 HARDIN DR OK,2208,Hardin Drive,Oklahoma City,Oklahoma,73111,"2208 Hardin Drive Oklahoma City, Oklahoma 73111",True
222 NW 28TH ST OK,222,Northwest 28th Street,Oklahoma City,Oklahoma,73103,"222 Northwest 28th Street Oklahoma City, Oklahoma 73103",True
2224 NE 20TH ST OK,2224,Northeast 20th Street,Oklahoma City,Oklahoma,73111,"2224 Northeast 20th Street Oklahoma City, Oklahoma 73111",True
2237 NE 20TH ST OK,2237,Northeast 20th Street,Oklahoma City,Oklahoma,73111,"2237 Northeast 20th Street Oklahoma City, Oklahoma 73111",True
2245 NW 11TH ST OK,2245,Northwest 11th Street,Oklahoma City,Oklahoma,73107,"2245 Northwest 11th Street Oklahoma City, Oklahoma 73107",True
225 NW 85TH ST OK,225,Northwest 85th Street,Oklahoma City,Oklahoma,73114,"225 Northwest 85th Street Oklahoma City, Oklahoma 73114",True
2109 NE 12TH ST OK,2109,Northeast 12th Street,Moore,Oklahoma,73160,"2109 Northeast 12th Street Moore, Oklahoma 73160",True
2112 N EVEREST AVE OK,2112,North Everest Avenue,Oklahoma City,Oklahoma,73111,"2112 North Everest Avenue Oklahoma City, Oklahoma 73111",True
2113 NW 36TH ST OK,House number not found,Northwest 36th Street,Oklahoma City,Oklahoma,73008,"House number not found Northwest 36th Street Oklahoma City, Oklahoma 73008",False
2117 N EVEREST AVE OK,2117,North Everest Avenue,Oklahoma City,Oklahoma,73111,"2117 North Everest Avenue Oklahoma City, Oklahoma 73111",True
212 SE 41ST ST OK,212,Southeast 41st Street,Oklahoma City,Oklahoma,73129,"212 Southeast 41st Street Oklahoma City, Oklahoma 73129",True
2121 N BROOKLINE AVE OK,2121,North Brookline Avenue,Oklahoma City,Oklahoma,73107,"2121 North Brookline Avenue Oklahoma City, Oklahoma 73107",True
2125 NW 36TH ST OK,2125,Northwest 36th Street,Oklahoma City,Oklahoma,73112,"2125 Northwest 36th Street Oklahoma City, Oklahoma 73112",True
2129 FONSHILL AVE OK,2129,North Fonshill Avenue,Oklahoma City,Oklahoma,73111,"2129 North Fonshill Avenue Oklahoma City, Oklahoma 73111",True
2131 NW 14TH ST OK,2131,Northwest 14th Street,Lawton,Oklahoma,73507,"2131 Northwest 14th Street Lawton, Oklahoma 73507",True
2132 FONSHILL AVE OK,2132,North Fonshill Avenue,Oklahoma City,Oklahoma,73111,"2132 North Fonshill Avenue Oklahoma City, Oklahoma 73111",True
2137 N RHODE ISLAND AVE OK,2137,North Rhode Island Avenue,Oklahoma City,Oklahoma,73111,"2137 North Rhode Island Avenue Oklahoma City, Oklahoma 73111",True
2137 NE 16TH TER OK,2137,Northeast 16th Terrace,Oklahoma City,Oklahoma,73117,"2137 Northeast 16th Terrace Oklahoma City, Oklahoma 73117",True
2137 NW 26TH ST OK,2137,Northwest 26th Street,Oklahoma City,Oklahoma,73107,"2137 Northwest 26th Street Oklahoma City, Oklahoma 73107",True
217 N TUTTLE ST OK,217,North Tuttle Street,Oklahoma City,Oklahoma,73107,"217 North Tuttle Street Oklahoma City, Oklahoma 73107",True
219 N TUTTLE ST OK,219,North Tuttle Street,Oklahoma City,Oklahoma,73107,"219 North Tuttle Street Oklahoma City, Oklahoma 73107",True
219 SE 55TH ST OK,219,Southeast 55th Street,Oklahoma City,Oklahoma,73129,"219 Southeast 55th Street Oklahoma City, Oklahoma 73129",True
2201 N KELHAM AVE OK,2201,North Kelham Avenue,Oklahoma City,Oklahoma,73111,"2201 North Kelham Avenue Oklahoma City, Oklahoma 73111",True
200 CONESTOGA DR OK,200,Conestoga Drive,Oklahoma City,Oklahoma,73099,"200 Conestoga Drive Oklahoma City, Oklahoma 73099",True
2017 N PAGE AVE OK,2017,North Page Avenue,Oklahoma City,Oklahoma,73111,"2017 North Page Avenue Oklahoma City, Oklahoma 73111",True
2023 NW 33RD ST OK,2023,Northwest 33rd Street,Oklahoma City,Oklahoma,73118,"2023 Northwest 33rd Street Oklahoma City, Oklahoma 73118",True
2025 NE 18TH ST OK,2025,Northeast 18th Street,Oklahoma City,Oklahoma,73111,"2025 Northeast 18th Street Oklahoma City, Oklahoma 73111",True
2036 NW 44TH ST OK,2036,Northwest 44th Street,Oklahoma City,Oklahoma,73118,"2036 Northwest 44th Street Oklahoma City, Oklahoma 73118",True
2037 NW 47TH ST OK,2037,Northwest 47th Street,Oklahoma City,Oklahoma,73118,"2037 Northwest 47th Street Oklahoma City, Oklahoma 73118",True
204 NE 16TH ST OK,204,Northeast 16th Street,Guymon,Oklahoma,73942,"204 Northeast 16th Street Guymon, Oklahoma 73942",True
204 SE 19TH ST OK,200,Southeast 19th Street,Moore,Oklahoma,73160,"200 Southeast 19th Street Moore, Oklahoma 73160",False
205 OUT WEST TRL OK,205,Out West Trail,Oklahoma City,Oklahoma,73099,"205 Out West Trail Oklahoma City, Oklahoma 73099",True
2100 N SARA RD OK,2100,North Sara Road,Oklahoma City,Oklahoma,73099,"2100 North Sara Road Oklahoma City, Oklahoma 73099",True
2100 NW 27TH ST OK,2100,Northwest 27th Street,Oklahoma City,Oklahoma,73107,"2100 Northwest 27th Street Oklahoma City, Oklahoma 73107",True
2100 PALOMINO DR OK,2100,Palomino Drive,Oklahoma City,Oklahoma,73121,"2100 Palomino Drive Oklahoma City, Oklahoma 73121",True
2101 SW 70TH ST OK,2101,Southwest 70th Street,Oklahoma City,Oklahoma,73159,"2101 Southwest 70th Street Oklahoma City, Oklahoma 73159",True
2108 SW 25TH ST OK,2108,Southwest 25th Street,Oklahoma City,Oklahoma,73108,"2108 Southwest 25th Street Oklahoma City, Oklahoma 73108",True
2108 SW 68TH ST OK,2108,Southwest 68th Street,Oklahoma City,Oklahoma,73159,"2108 Southwest 68th Street Oklahoma City, Oklahoma 73159",True
2480 NW 39TH TER OK,2480,Northwest 39th Terrace,Oklahoma City,Oklahoma,73112,"2480 Northwest 39th Terrace Oklahoma City, Oklahoma 73112",True
2500 NE SUCCESS ST OK,2500,Northeast Success Street,Oklahoma City,Oklahoma,73111,"2500 Northeast Success Street Oklahoma City, Oklahoma 73111",True
2501 NW 14TH ST OK,2501,Northwest 14th Street,Lawton,Oklahoma,73507,"2501 Northwest 14th Street Lawton, Oklahoma 73507",True
2501 SW 52ND ST OK,2501,Southwest 52nd Street,Oklahoma City,Oklahoma,73119,"2501 Southwest 52nd Street Oklahoma City, Oklahoma 73119",True
2505 NE 14TH ST OK,2505,Northeast 14th Street,Oklahoma City,Oklahoma,73117,"2505 Northeast 14th Street Oklahoma City, Oklahoma 73117",True
2505 NW 28TH ST OK,2505,Northwest 28th Street,Oklahoma City,Oklahoma,73107,"2505 Northwest 28th Street Oklahoma City, Oklahoma 73107",True
2508 NE 13TH ST OK,House number not found,N.E. 13th Street,Moore,Oklahoma,73160,"House number not found N.E. 13th Street Moore, Oklahoma 73160",False
2509 SE 45TH ST OK,2509,Southeast 45th Street,Oklahoma City,Oklahoma,73129,"2509 Southeast 45th Street Oklahoma City, Oklahoma 73129",True
2512 NW 39TH TER OK,2512,Northwest 39th Terrace,Oklahoma City,Oklahoma,73112,"2512 Northwest 39th Terrace Oklahoma City, Oklahoma 73112",True
2513 SE 45TH ST OK,2513,Southeast 45th Street,Oklahoma City,Oklahoma,73129,"2513 Southeast 45th Street Oklahoma City, Oklahoma 73129",True
2345 NE 22ND ST OK,2345,Northeast 22nd Street,Oklahoma City,Oklahoma,73111,"2345 Northeast 22nd Street Oklahoma City, Oklahoma 73111",True
2345 NW 31ST ST OK,2345,Northwest 31st Street,Oklahoma City,Oklahoma,73112,"2345 Northwest 31st Street Oklahoma City, Oklahoma 73112",True
240 SE 55TH ST OK,240,Southeast 55th Street,Oklahoma City,Oklahoma,73129,"240 Southeast 55th Street Oklahoma City, Oklahoma 73129",True
2400 N SARA RD OK,2400,North Sara Road,Oklahoma City,Oklahoma,73099,"2400 North Sara Road Oklahoma City, Oklahoma 73099",True
2400 SW 47TH ST OK,2400,Southwest 47th Street,Oklahoma City,Oklahoma,73119,"2400 Southwest 47th Street Oklahoma City, Oklahoma 73119",True
2401 BUTTERNUT PL OK,2401,Butternut Place,Oklahoma City,Oklahoma,73013,"2401 Butternut Place Oklahoma City, Oklahoma 73013",True
2412 SW 49TH ST OK,2412,Southwest 49th Street,Oklahoma City,Oklahoma,73119,"2412 Southwest 49th Street Oklahoma City, Oklahoma 73119",True
2420 NE 26TH ST OK,2420,Northeast 26th Street,Oklahoma City,Oklahoma,73111,"2420 Northeast 26th Street Oklahoma City, Oklahoma 73111",True
2420 NW 114TH ST OK,2420,Northwest 114th Street,Oklahoma City,Oklahoma,73120,"2420 Northwest 114th Street Oklahoma City, Oklahoma 73120",True
2425 SW 90TH PL OK,2425,Southwest 90th Place,Oklahoma City,Oklahoma,73159,"2425 Southwest 90th Place Oklahoma City, Oklahoma 73159",True
2435 NW 12TH ST OK,2435,Northwest 12th Street,Lawton,Oklahoma,73507,"2435 Northwest 12th Street Lawton, Oklahoma 73507",True
2445 W MAIN ST OK,2424,West Main Street,Norman,Oklahoma,73069,"2424 West Main Street Norman, Oklahoma 73069",False
2449 W MAIN ST OK,House number not found,West Main Street,Norman,Oklahoma,73072,"House number not found West Main Street Norman, Oklahoma 73072",False
2452 NW 39TH TER OK,2452,Northwest 39th Terrace,Oklahoma City,Oklahoma,73112,"2452 Northwest 39th Terrace Oklahoma City, Oklahoma 73112",True
2460 NW 39TH TER OK,2460,Northwest 39th Terrace,Oklahoma City,Oklahoma,73112,"2460 Northwest 39th Terrace Oklahoma City, Oklahoma 73112",True
2464 NW 39TH TER OK,2464,Northwest 39th Terrace,Oklahoma City,Oklahoma,73112,"2464 Northwest 39th Terrace Oklahoma City, Oklahoma 73112",True
2468 NW 39TH TER OK,2468,Northwest 39th Terrace,Oklahoma City,Oklahoma,73112,"2468 Northwest 39th Terrace Oklahoma City, Oklahoma 73112",True
2301 SE 9TH ST OK,2301,Southeast 9th Street,Oklahoma City,Oklahoma,73129,"2301 Southeast 9th Street Oklahoma City, Oklahoma 73129",True
2308 SE 11TH ST OK,2308,Southeast 11th Street,Oklahoma City,Oklahoma,73129,"2308 Southeast 11th Street Oklahoma City, Oklahoma 73129",True
2309 S HUDSON AVE OK,2309,South Hudson Avenue,Oklahoma City,Oklahoma,73109,"2309 South Hudson Avenue Oklahoma City, Oklahoma 73109",True
2313 NW 115TH ST OK,2313,Northwest 115th Street,Oklahoma City,Oklahoma,73120,"2313 Northwest 115th Street Oklahoma City, Oklahoma 73120",True
2316 SW 25TH ST OK,2316,Southwest 25th Street,Oklahoma City,Oklahoma,73108,"2316 Southwest 25th Street Oklahoma City, Oklahoma 73108",True
2324 NW 13TH ST OK,2324,Northwest 13th Street,Lawton,Oklahoma,73507,"2324 Northwest 13th Street Lawton, Oklahoma 73507",True
2329 SW GRAND BLVD OK,2329,Southwest Grand Boulevard,Oklahoma City,Oklahoma,73119,"2329 Southwest Grand Boulevard Oklahoma City, Oklahoma 73119",True
2332 NE 23RD ST OK,2332,Northeast 23rd Street,Oklahoma City,Oklahoma,73111,"2332 Northeast 23rd Street Oklahoma City, Oklahoma 73111",True
2334 NW 21ST ST OK,2334,Northwest 21st Street,Oklahoma City,Oklahoma,73107,"2334 Northwest 21st Street Oklahoma City, Oklahoma 73107",True
2338 NW 21ST ST OK,2338,Northwest 21st Street,Oklahoma City,Oklahoma,73107,"2338 Northwest 21st Street Oklahoma City, Oklahoma 73107",True
2344 NW 1ST TER OK,2344,Northwest 1st Terrace,Oklahoma City,Oklahoma,73107,"2344 Northwest 1st Terrace Oklahoma City, Oklahoma 73107",True
2801 NE 10TH ST OK,2801,Northeast 10th Street,Oklahoma City,Oklahoma,73117,"2801 Northeast 10th Street Oklahoma City, Oklahoma 73117",True
2804 NW 23RD ST OK,2804,Northwest 23rd Street,Lawton,Oklahoma,73505,"2804 Northwest 23rd Street Lawton, Oklahoma 73505",True
2805 SW 66TH ST OK,2805,Southwest 66th Street,Oklahoma City,Oklahoma,73159,"2805 Southwest 66th Street Oklahoma City, Oklahoma 73159",True
2808 S CENTRAL AVE OK,2808,South Central Avenue,Oklahoma City,Oklahoma,73129,"2808 South Central Avenue Oklahoma City, Oklahoma 73129",True
2809 NW 67TH ST OK,2809,Northwest 67th Street,Lawton,Oklahoma,73505,"2809 Northwest 67th Street Lawton, Oklahoma 73505",True
2814 S CENTRAL AVE OK,2814,South Central Avenue,Oklahoma City,Oklahoma,73129,"2814 South Central Avenue Oklahoma City, Oklahoma 73129",True
2815 NW 40TH ST OK,2815,Northwest 40th Street,Oklahoma City,Oklahoma,73112,"2815 Northwest 40th Street Oklahoma City, Oklahoma 73112",True
2825 SW 82ND ST OK,2800,Southwest 82nd Street,Oklahoma City,Oklahoma,73159,"2800 Southwest 82nd Street Oklahoma City, Oklahoma 73159",False
2832 NW 23RD ST OK,2832,Northwest 23rd Street,Lawton,Oklahoma,73505,"2832 Northwest 23rd Street Lawton, Oklahoma 73505",True
2840 NW 23RD ST OK,2840,Northwest 23rd Street,Lawton,Oklahoma,73505,"2840 Northwest 23rd Street Lawton, Oklahoma 73505",True
2844 LANCASTER LN OK,2844,Lancaster Lane,Oklahoma City,Oklahoma,73116,"2844 Lancaster Lane Oklahoma City, Oklahoma 73116",True
2852 SW 39TH ST OK,2852,Southwest 39th Street,Oklahoma City,Oklahoma,73119,"2852 Southwest 39th Street Oklahoma City, Oklahoma 73119",True
29 SW 55TH ST OK,29,Southwest 55th Street,Oklahoma City,Oklahoma,73109,"29 Southwest 55th Street Oklahoma City, Oklahoma 73109",True
2904 NW 46TH ST OK,2904,Northwest 46th Street,Lawton,Oklahoma,73505,"2904 Northwest 46th Street Lawton, Oklahoma 73505",True
2620 SE 96TH ST OK,2620,Southeast 96th Street,Oklahoma City,Oklahoma,73160,"2620 Southeast 96th Street Oklahoma City, Oklahoma 73160",True
2646 SW 57TH PL OK,2646,Southwest 57th Place,Oklahoma City,Oklahoma,73119,"2646 Southwest 57th Place Oklahoma City, Oklahoma 73119",True
2660 SW 45TH ST OK,2660,Southwest 45th Street,Oklahoma City,Oklahoma,73119,"2660 Southwest 45th Street Oklahoma City, Oklahoma 73119",True
2700 SW 65TH ST OK,2700,Southwest 65th Street,Oklahoma City,Oklahoma,73159,"2700 Southwest 65th Street Oklahoma City, Oklahoma 73159",True
2707 NE 10TH ST OK,2611,Northeast 10th Street,Oklahoma City,Oklahoma,73117,"2611 Northeast 10th Street Oklahoma City, Oklahoma 73117",False
2709 SE 47TH ST OK,2709,Southeast 47th Street,Oklahoma City,Oklahoma,73129,"2709 Southeast 47th Street Oklahoma City, Oklahoma 73129",True
2709 SE 50TH ST OK,2709,Southeast 50th Street,Oklahoma City,Oklahoma,73129,"2709 Southeast 50th Street Oklahoma City, Oklahoma 73129",True
2712 NW 16TH ST OK,2712,Northwest 16th Street,Lawton,Oklahoma,73507,"2712 Northwest 16th Street Lawton, Oklahoma 73507",True
2716 SE 47TH ST OK,2716,Southeast 47th Street,Oklahoma City,Oklahoma,73129,"2716 Southeast 47th Street Oklahoma City, Oklahoma 73129",True
2717 SW 56TH ST OK,2717,Southwest 56th Street,Oklahoma City,Oklahoma,73119,"2717 Southwest 56th Street Oklahoma City, Oklahoma 73119",True
2720 SW 32ND ST OK,2720,Southwest 32nd Street,Oklahoma City,Oklahoma,73119,"2720 Southwest 32nd Street Oklahoma City, Oklahoma 73119",True
2725 NW 187TH TER OK,2725,Northwest 187th Terrace,Oklahoma City,Oklahoma,73012,"2725 Northwest 187th Terrace Oklahoma City, Oklahoma 73012",True
2728 SE 95TH ST OK,2728,Southeast 95th Street,Oklahoma City,Oklahoma,73160,"2728 Southeast 95th Street Oklahoma City, Oklahoma 73160",True
2731 W EUBANKS ST OK,2731,West Eubanks Street,Oklahoma City,Oklahoma,73112,"2731 West Eubanks Street Oklahoma City, Oklahoma 73112",True
2732 SE 48TH ST OK,2732,Southeast 48th Street,Oklahoma City,Oklahoma,73129,"2732 Southeast 48th Street Oklahoma City, Oklahoma 73129",True
